student_id,grade_level,age,gender,race_ethnicity,free_reduced_lunch,ell_status,iep_status,section_504,gifted_program,current_gpa,cumulative_gpa,gpa_trend,course_failures_total,grade_retained_ever,years_data_available,credits_earned,recent_Reading_Grade,recent_Math_Grade,recent_Science_Grade,recent_Social_Studies_Grade,recent_year_gpa,recent_ELA_Grade,recent_Elective1_Grade,recent_Elective2_Grade,recent_English_Grade,recent_PE_Grade,attendance_rate,chronic_absenteeism,tardiness_rate,behavior_score,disciplinary_incidents,suspensions,extracurricular_count,parent_engagement_level,technology_access,success_probability,current_success,risk_category,next_grade_success_pred,next_grade_success_prob,graduation_prediction,graduation_probability
19,7,12,M,Black,0,0,0,0,0,3.65,3.43,0.33,0,0,3,42,,4.0,3.48,3.67,3.65,3.37,3.58,3.78,,,0.898,1,0.004,0.89,0,0,0,0,1,0.922,1,Low Risk,1,0.937,,
20,0,5,M,Hispanic,0,0,0,0,0,4.0,4.0,0.0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,,,,,,0.852,1,0.185,0.921,0,0,1,1,1,0.95,1,Low Risk,1,0.896,,
21,3,8,F,Black,0,0,0,0,0,4.0,3.78,0.47,0,0,3,18,4.0,4.0,4.0,4.0,4.0,,,,,,0.966,0,0.003,1.0,0,0,0,0,1,0.95,1,Low Risk,1,0.95,,
22,2,6,F,Asian,1,0,0,0,0,3.64,3.53,0.06,0,0,3,12,3.59,3.77,3.45,3.74,3.64,,,,,,0.948,0,0.056,0.938,0,0,1,0,1,0.95,1,Low Risk,1,0.911,,
23,11,16,F,White,0,0,0,0,0,2.89,3.35,-0.64,0,0,3,66,,2.17,2.29,3.34,2.89,,3.01,2.93,3.08,3.4,0.79,1,0.054,0.722,0,0,0,2,1,0.865,1,Low Risk,1,0.917,1.0,0.95
24,8,12,M,Hispanic,1,0,0,0,0,3.56,2.82,1.39,0,0,3,48,,3.37,3.04,4.0,3.56,3.82,3.11,4.0,,,0.847,1,0.092,0.962,0,0,0,1,1,0.863,1,Low Risk,1,0.846,,
25,3,8,F,Black,1,0,0,0,0,3.56,2.98,1.16,0,0,3,18,3.49,3.61,3.29,3.86,3.56,,,,,,0.953,0,0.002,1.0,0,0,0,1,1,0.95,0,Low Risk,1,0.95,,
26,2,8,M,Asian,1,0,0,0,0,2.9,2.58,0.88,0,0,3,12,3.01,3.16,3.06,2.36,2.9,,,,,,0.965,0,0.047,0.908,0,0,1,2,1,0.95,1,Low Risk,1,0.922,,
27,2,7,M,White,1,0,1,1,0,2.6,2.63,-0.32,0,0,3,12,3.38,2.38,1.85,2.77,2.6,,,,,,0.963,0,0.006,1.0,0,0,1,2,1,0.95,1,Low Risk,1,0.91,,
28,4,8,F,White,1,1,0,0,0,3.03,3.13,-0.46,0,0,3,24,3.34,2.7,3.1,2.97,3.03,,,,,,0.952,0,0.077,0.944,2,0,0,2,1,0.905,1,Low Risk,1,0.901,,
29,10,15,M,Hispanic,1,0,0,0,0,2.31,2.48,-0.66,0,0,3,60,,2.24,2.47,1.95,2.31,,2.23,2.3,2.42,2.53,0.948,0,0.051,0.943,0,0,0,1,1,0.786,1,Medium Risk,0,0.837,1.0,0.817
30,12,17,F,Black,1,0,0,0,0,2.75,3.35,-1.08,0,0,3,72,,3.16,2.7,2.91,2.75,,3.22,2.39,2.55,2.3,0.769,1,0.018,0.895,0,0,2,1,1,0.798,1,Medium Risk,1,0.778,1.0,0.873
31,10,15,F,Asian,0,0,0,0,0,3.43,3.63,-0.17,0,0,3,60,,3.38,3.06,3.64,3.43,,3.76,3.45,3.59,3.16,0.878,1,0.045,0.918,0,0,0,1,1,0.913,1,Low Risk,1,0.95,1.0,0.95
32,9,14,M,White,0,0,0,0,0,3.71,3.21,0.71,0,0,3,54,,3.5,3.39,3.96,3.71,,3.65,3.6,4.0,3.85,0.99,0,0.002,0.744,0,0,3,0,1,0.95,1,Low Risk,1,0.937,1.0,0.95
33,3,8,M,White,1,0,0,0,0,2.72,2.88,-0.24,0,0,3,18,2.79,2.68,2.66,2.74,2.72,,,,,,0.977,0,0.02,0.788,1,0,0,1,1,0.916,0,Low Risk,1,0.95,,
34,2,7,M,White,1,0,0,0,1,4.0,3.69,0.36,0,0,3,12,4.0,4.0,4.0,4.0,4.0,,,,,,0.892,1,0.009,0.858,0,0,0,0,1,0.95,1,Low Risk,1,0.915,,
35,6,11,F,White,0,0,0,1,0,3.67,3.66,-0.31,0,0,3,36,,4.0,4.0,3.27,3.67,3.42,3.75,3.59,,,0.921,0,0.02,0.822,0,0,1,0,1,0.95,1,Low Risk,1,0.883,,
36,8,13,M,White,0,0,0,0,0,3.25,3.7,-0.74,0,0,3,48,,3.16,3.5,3.14,3.25,3.05,3.06,3.58,,,0.914,0,0.009,0.765,0,0,0,1,1,0.95,1,Low Risk,1,0.948,,
37,12,17,F,Hispanic,0,0,0,0,0,3.85,3.48,0.54,0,0,3,72,,4.0,4.0,3.91,3.85,,3.69,3.8,3.52,4.0,0.86,1,0.159,0.76,1,0,0,1,1,0.95,1,Low Risk,1,0.871,1.0,0.95
38,1,5,M,Black,1,0,0,0,0,3.25,2.77,0.96,0,0,2,6,3.62,2.92,3.34,3.13,3.25,,,,,,0.956,0,0.012,0.875,0,0,0,0,0,0.95,1,Low Risk,1,0.929,,
39,2,7,M,Hispanic,1,0,0,0,0,2.82,3.01,-0.59,0,0,3,12,2.79,2.94,2.68,2.86,2.82,,,,,,0.99,0,0.039,0.882,0,0,0,2,1,0.95,1,Low Risk,1,0.938,,
40,10,15,M,White,1,0,0,0,0,3.1,2.89,0.49,0,0,3,60,,3.35,2.66,2.57,3.1,,3.24,3.53,3.58,2.74,0.853,1,0.019,0.878,1,0,1,0,1,0.746,0,Medium Risk,1,0.748,1.0,0.856
41,4,9,M,Hispanic,1,0,1,0,0,2.05,2.61,-0.39,0,0,3,24,2.44,1.74,2.11,1.9,2.05,,,,,,0.834,1,0.014,1.0,0,0,1,2,1,0.713,1,Medium Risk,1,0.781,,
42,0,5,M,White,1,0,0,0,0,3.44,3.44,0.0,0,0,1,0,3.59,3.28,3.38,3.52,3.44,,,,,,0.955,0,0.008,0.955,0,0,0,0,1,0.95,1,Low Risk,1,0.939,,
43,10,15,M,Hispanic,1,0,0,0,0,2.86,2.75,-0.1,0,0,3,60,,3.43,2.68,2.82,2.86,,2.75,2.88,2.62,2.87,0.907,0,0.005,0.871,0,0,1,1,1,0.886,1,Low Risk,0,0.807,1.0,0.95
44,2,7,F,Other,0,0,0,0,0,3.8,3.79,0.18,0,0,3,12,3.63,4.0,3.57,4.0,3.8,,,,,,0.99,0,0.002,0.841,1,0,1,2,1,0.95,1,Low Risk,1,0.95,,
45,10,15,F,Black,0,1,0,0,0,3.93,2.96,0.68,0,0,3,60,,4.0,3.98,4.0,3.93,,3.54,4.0,4.0,4.0,0.887,1,0.018,0.879,0,0,1,1,1,0.95,1,Low Risk,1,0.95,1.0,0.95
46,11,16,M,Asian,0,0,1,1,0,3.4,3.1,0.79,0,0,3,66,,3.24,3.75,3.69,3.4,,3.13,3.51,3.29,3.22,0.827,1,0.026,0.728,1,1,0,2,1,0.893,1,Low Risk,1,0.913,0.0,0.95
47,7,12,M,White,1,0,0,0,0,2.54,2.61,-0.3,0,0,3,42,,2.72,2.1,2.35,2.54,2.85,2.62,2.59,,,0.821,1,0.035,0.874,1,0,1,1,1,0.702,1,Medium Risk,1,0.686,,
48,5,9,F,White,1,0,0,0,0,3.84,3.17,0.31,0,0,3,30,3.75,3.63,4.0,4.0,3.84,,,,,,0.882,1,0.04,1.0,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
49,7,12,M,Hispanic,0,0,0,0,0,2.72,3.32,-0.84,0,0,3,42,,2.18,2.59,3.22,2.72,2.44,2.91,2.96,,,0.906,0,0.017,1.0,0,0,0,0,1,0.885,1,Low Risk,1,0.95,,
50,12,17,M,Black,1,1,0,0,0,2.6,2.27,0.21,1,0,3,70,,2.37,2.69,2.44,2.6,,2.88,2.72,2.59,2.53,0.879,1,0.069,0.728,0,0,0,1,1,0.609,0,Medium Risk,1,0.661,1.0,0.669
51,9,14,M,Asian,0,0,0,0,0,3.52,3.45,0.7,0,0,3,54,,3.34,3.43,3.79,3.52,,3.71,3.35,3.17,3.82,0.99,0,0.007,0.96,0,0,0,2,1,0.95,1,Low Risk,1,0.95,1.0,0.95
52,1,6,F,Black,1,1,0,0,0,2.89,2.38,1.01,0,0,2,6,3.27,2.5,2.79,3.02,2.89,,,,,,0.99,0,0.009,0.8,0,0,0,1,0,0.925,0,Low Risk,1,0.872,,
53,2,8,M,Multi-racial,0,0,0,1,0,3.78,3.73,0.32,0,0,3,12,4.0,3.94,3.69,3.47,3.78,,,,,,0.874,1,0.023,1.0,0,0,0,2,1,0.95,1,Low Risk,1,0.95,,
54,6,12,F,Hispanic,1,0,0,0,0,2.06,2.49,-0.97,0,0,3,36,,2.21,2.02,1.84,2.06,1.94,2.18,2.19,,,0.947,0,0.003,0.739,0,0,1,1,1,0.808,0,Low Risk,1,0.89,,
55,0,5,F,Asian,0,0,0,0,0,3.95,3.95,0.0,0,0,1,0,4.0,4.0,3.8,4.0,3.95,,,,,,0.962,0,0.021,0.821,1,0,0,1,0,0.95,1,Low Risk,1,0.933,,
56,4,9,M,Multi-racial,1,0,0,0,0,3.27,3.18,0.61,0,0,3,24,3.76,3.38,2.52,3.42,3.27,,,,,,0.846,1,0.032,0.954,0,0,0,2,1,0.909,1,Low Risk,0,0.9,,
57,8,13,F,Black,1,0,0,0,0,3.09,3.03,0.12,0,0,3,48,,3.06,3.02,3.02,3.09,3.1,3.52,2.82,,,0.972,0,0.047,0.85,1,1,0,0,1,0.87,1,Low Risk,1,0.946,,
58,11,15,M,White,1,1,0,0,0,3.17,2.68,0.21,0,0,3,66,,3.23,3.72,3.67,3.17,,2.72,2.64,2.85,3.39,0.825,1,0.0,0.888,0,0,2,1,1,0.798,0,Medium Risk,1,0.759,1.0,0.915
59,12,17,F,White,0,0,0,0,0,3.19,3.41,-0.43,0,0,3,72,,2.75,3.34,3.21,3.19,,3.14,3.11,3.72,3.03,0.798,1,0.003,0.884,0,0,0,1,1,0.893,1,Low Risk,1,0.893,1.0,0.95
60,12,18,F,Black,1,0,0,0,0,3.47,2.75,0.96,0,0,3,72,,3.64,3.19,3.33,3.47,,3.41,3.79,3.93,2.98,0.99,0,0.172,0.877,1,0,1,1,1,0.95,1,Low Risk,1,0.903,1.0,0.95
61,12,17,M,Hispanic,1,0,0,0,0,3.11,2.69,1.04,0,0,3,72,,2.58,3.63,3.28,3.11,,3.11,2.95,3.01,3.2,0.871,1,0.012,0.663,3,0,0,0,1,0.723,1,Medium Risk,1,0.724,0.0,0.834
62,9,14,F,Hispanic,1,0,0,0,0,1.96,2.04,-0.6,0,0,3,54,,2.13,2.02,2.09,1.96,,1.74,2.11,1.76,1.88,0.955,0,0.055,0.896,0,0,3,2,1,0.845,1,Low Risk,0,0.838,1.0,0.841
63,9,14,F,White,0,0,0,0,0,2.26,2.59,0.02,0,0,3,54,,2.28,2.76,1.98,2.26,,2.04,2.06,2.43,2.26,0.957,0,0.019,0.904,0,0,0,1,1,0.841,1,Low Risk,1,0.86,1.0,0.867
64,5,11,M,Hispanic,1,0,0,0,1,2.62,3.42,-1.25,0,0,3,30,3.09,2.62,2.75,2.02,2.62,,,,,,0.99,0,0.001,0.94,0,0,0,2,1,0.945,1,Low Risk,1,0.872,,
65,1,7,M,White,0,1,0,0,0,3.18,2.91,0.54,0,0,2,6,2.61,3.14,3.95,3.03,3.18,,,,,,0.99,0,0.005,0.82,0,0,1,1,1,0.95,1,Low Risk,1,0.932,,
66,2,6,M,White,0,0,0,0,0,3.37,3.69,-0.62,0,0,3,12,3.65,3.01,3.34,3.48,3.37,,,,,,0.99,0,0.006,1.0,0,0,0,1,0,0.95,1,Low Risk,1,0.95,,
67,11,16,F,White,0,0,0,0,0,4.0,3.44,0.6,0,0,3,66,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,0.99,0,0.008,0.779,1,0,1,1,1,0.95,1,Low Risk,1,0.89,1.0,0.95
68,1,6,M,White,0,0,0,0,0,3.98,3.98,0.0,0,0,2,6,3.93,4.0,4.0,3.98,3.98,,,,,,0.879,1,0.018,1.0,0,0,0,0,0,0.95,1,Low Risk,1,0.943,,
69,7,11,F,Asian,0,0,0,0,0,3.36,3.71,-0.42,0,0,3,42,,3.66,3.15,3.43,3.36,3.8,3.08,3.07,,,0.853,1,0.001,0.789,0,0,0,0,1,0.865,1,Low Risk,1,0.812,,
70,2,7,M,Hispanic,0,0,0,0,0,4.0,3.74,0.06,0,0,3,12,4.0,4.0,4.0,4.0,4.0,,,,,,0.863,1,0.018,0.874,1,1,0,0,1,0.95,1,Low Risk,1,0.9,,
71,8,13,F,Hispanic,0,0,0,0,0,3.56,2.73,1.07,0,0,3,48,,3.24,3.28,3.37,3.56,4.0,3.99,3.45,,,0.905,0,0.002,0.907,0,0,1,0,1,0.95,1,Low Risk,1,0.943,,
72,4,8,M,White,0,0,1,0,0,3.57,3.12,1.23,0,0,3,24,3.78,3.18,3.84,3.46,3.57,,,,,,0.99,0,0.005,0.87,0,0,0,0,0,0.95,0,Low Risk,1,0.944,,
73,9,14,M,Hispanic,1,0,0,0,0,2.57,2.49,0.2,0,0,3,54,,2.31,2.44,2.64,2.57,,2.41,2.34,2.99,2.88,0.841,1,0.02,0.698,1,0,2,1,1,0.713,1,Medium Risk,1,0.642,0.0,0.77
74,4,9,F,White,1,0,0,0,0,3.2,2.67,0.24,0,0,3,24,3.66,2.79,3.52,2.82,3.2,,,,,,0.861,1,0.046,1.0,0,0,1,2,0,0.933,1,Low Risk,1,0.942,,
75,2,7,M,White,0,0,0,0,0,3.36,3.5,-0.43,0,0,3,12,3.5,3.09,3.44,3.39,3.36,,,,,,0.878,1,0.096,1.0,0,0,0,1,0,0.95,1,Low Risk,1,0.925,,
76,12,17,M,Multi-racial,1,0,0,0,0,2.88,2.91,-0.36,0,0,3,72,,2.87,3.18,3.18,2.88,,2.98,3.04,2.6,2.31,0.789,1,0.116,0.998,0,0,1,1,1,0.794,1,Medium Risk,1,0.771,1.0,0.882
77,11,16,F,White,1,0,0,0,0,2.1,2.6,-0.84,0,0,3,66,,2.1,1.55,2.74,2.1,,1.56,2.07,2.21,2.49,0.99,0,0.014,0.966,0,0,0,2,1,0.827,1,Low Risk,1,0.881,1.0,0.837
78,2,7,F,White,1,0,0,0,0,2.66,2.96,-0.04,0,0,3,12,2.74,2.44,2.91,2.57,2.66,,,,,,0.813,1,0.285,0.913,0,0,0,1,0,0.788,1,Medium Risk,0,0.725,,
79,3,8,M,Multi-racial,0,0,0,0,0,3.9,3.36,0.05,0,0,3,18,3.87,4.0,3.74,4.0,3.9,,,,,,0.99,0,0.017,1.0,0,0,0,2,1,0.95,1,Low Risk,1,0.95,,
80,7,12,M,White,1,0,1,0,0,3.04,2.67,0.88,0,0,3,42,,3.27,3.21,2.86,3.04,3.18,2.57,3.14,,,0.745,1,0.002,0.803,0,0,0,1,1,0.705,0,Medium Risk,1,0.708,,
81,12,17,M,Black,1,0,0,0,0,2.12,2.18,-0.29,0,0,3,72,,2.24,2.22,2.15,2.12,,1.91,1.73,2.36,2.23,0.751,1,0.099,0.944,0,0,3,0,1,0.688,1,Medium Risk,0,0.626,1.0,0.7
82,1,6,F,Hispanic,1,0,1,0,0,2.7,3.31,-1.22,0,0,2,6,2.78,2.5,2.77,2.77,2.7,,,,,,0.898,1,0.118,0.744,0,0,0,1,1,0.789,1,Medium Risk,1,0.844,,
83,5,10,M,White,1,0,0,0,0,2.86,2.55,0.34,0,0,3,30,2.67,2.4,3.03,3.33,2.86,,,,,,0.876,1,0.013,1.0,0,0,0,1,1,0.807,1,Low Risk,1,0.767,,
84,6,12,F,White,1,0,0,0,0,1.47,2.81,-1.95,0,0,3,36,,1.47,1.29,1.25,1.47,1.49,1.37,1.97,,,0.756,1,0.026,0.999,0,0,0,2,1,0.572,1,High Risk,1,0.593,,
85,7,12,F,Black,0,0,0,0,0,3.74,3.74,0.21,0,0,3,42,,3.26,4.0,3.65,3.74,3.72,3.99,3.79,,,0.944,0,0.006,0.931,0,0,0,2,1,0.95,1,Low Risk,1,0.942,,
86,6,11,F,White,1,0,0,0,0,2.43,2.95,-0.83,0,0,3,36,,2.19,2.13,2.75,2.43,2.48,2.83,2.2,,,0.899,1,0.112,0.953,1,0,0,0,0,0.659,0,Medium Risk,0,0.681,,
87,9,14,M,Hispanic,1,0,0,0,0,3.6,3.55,0.08,0,0,3,54,,4.0,3.35,4.0,3.6,,3.15,3.33,3.69,3.7,0.767,1,0.027,0.876,0,0,0,1,1,0.805,1,Low Risk,1,0.777,1.0,0.95
88,4,9,F,Hispanic,0,0,1,0,0,3.81,3.59,0.71,0,0,3,24,3.84,4.0,3.6,3.81,3.81,,,,,,0.923,0,0.086,1.0,0,0,1,1,1,0.95,1,Low Risk,1,0.95,,
89,5,10,M,Black,1,0,0,0,0,2.46,2.63,-0.13,0,0,3,30,2.33,2.44,2.49,2.59,2.46,,,,,,0.99,0,0.008,0.918,1,0,0,2,1,0.901,1,Low Risk,1,0.871,,
90,1,6,F,White,1,1,1,0,0,2.94,2.41,1.06,1,0,2,4,3.18,2.69,2.87,3.0,2.94,,,,,,0.981,0,0.014,0.752,1,1,0,0,1,0.75,1,Medium Risk,0,0.74,,
91,12,17,M,Asian,1,0,0,0,0,3.32,3.12,0.13,0,0,3,72,,3.57,3.04,3.22,3.32,,3.42,3.39,3.59,2.99,0.713,1,0.012,0.963,0,0,0,1,1,0.807,1,Low Risk,1,0.748,1.0,0.939
92,3,8,M,White,0,0,1,0,0,3.63,3.29,0.67,0,0,3,18,3.78,3.48,3.51,3.74,3.63,,,,,,0.978,0,0.013,0.886,0,0,0,1,1,0.95,1,Low Risk,0,0.928,,
93,9,14,M,White,0,0,0,0,0,3.12,3.03,0.16,0,0,3,54,,2.93,2.85,3.26,3.12,,3.63,3.61,2.79,2.76,0.709,1,0.028,0.863,0,0,0,0,1,0.756,1,Medium Risk,0,0.727,0.0,0.868
94,4,9,F,White,1,0,1,0,0,2.62,2.82,-1.12,0,0,3,24,2.27,2.44,3.26,2.53,2.62,,,,,,0.907,0,0.005,0.887,0,0,0,2,1,0.89,1,Low Risk,1,0.916,,
95,0,6,M,Hispanic,0,0,0,0,0,3.86,3.86,0.0,0,0,1,0,4.0,4.0,3.98,3.48,3.86,,,,,,0.88,1,0.035,0.837,1,0,1,1,1,0.95,1,Low Risk,1,0.896,,
96,2,6,M,Hispanic,0,0,0,0,0,2.98,3.46,-0.72,0,0,3,12,2.72,3.38,2.95,2.88,2.98,,,,,,0.843,1,0.012,0.997,0,0,0,1,1,0.925,1,Low Risk,1,0.95,,
97,4,9,M,White,1,1,0,0,0,2.78,2.92,0.35,0,0,3,24,2.88,2.89,2.53,2.83,2.78,,,,,,0.799,1,0.006,0.754,0,0,1,0,1,0.712,0,Medium Risk,1,0.77,,
98,4,8,M,Hispanic,1,0,0,0,0,2.74,2.85,-0.37,0,0,3,24,2.67,2.48,3.07,2.72,2.74,,,,,,0.99,0,0.021,0.931,0,0,0,1,1,0.933,1,Low Risk,1,0.95,,
99,0,5,F,White,1,0,0,0,0,2.54,2.54,0.0,0,0,1,0,2.34,2.89,2.67,2.28,2.54,,,,,,0.942,0,0.021,1.0,0,0,1,0,1,0.919,1,Low Risk,1,0.95,,
100,10,15,M,Hispanic,0,0,1,0,0,2.84,2.98,-0.35,0,0,3,60,,3.08,3.03,2.05,2.84,,3.13,2.83,2.74,3.02,0.864,1,0.021,0.897,0,0,0,0,1,0.74,0,Medium Risk,1,0.799,1.0,0.824
101,2,6,M,Hispanic,0,0,0,0,0,3.16,3.21,-0.22,0,0,3,12,3.53,3.15,3.49,2.49,3.16,,,,,,0.99,0,0.028,0.913,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
102,4,9,M,Hispanic,0,0,0,0,1,3.93,3.86,0.29,0,0,3,24,4.0,3.84,3.87,4.0,3.93,,,,,,0.923,0,0.047,0.929,0,0,1,1,1,0.95,1,Low Risk,1,0.95,,
103,9,14,F,Hispanic,1,0,0,0,0,3.65,2.95,0.9,0,0,3,54,,3.41,3.69,3.79,3.65,,3.81,3.62,3.71,3.54,0.685,1,0.003,0.836,1,0,0,0,1,0.728,1,Medium Risk,1,0.708,1.0,0.893
104,6,11,M,White,1,1,0,0,0,3.77,2.97,1.23,0,0,3,36,,3.67,4.0,4.0,3.77,3.49,3.69,3.78,,,0.884,1,0.053,0.929,0,0,1,1,1,0.886,1,Low Risk,1,0.866,,
105,0,6,M,Hispanic,0,0,0,0,0,2.59,2.59,0.0,0,0,1,0,2.52,2.86,2.81,2.18,2.59,,,,,,0.99,0,0.045,0.986,0,0,1,2,0,0.95,1,Low Risk,1,0.923,,
106,0,5,F,Black,1,0,0,0,0,3.93,3.93,0.0,0,0,1,0,4.0,3.78,3.93,4.0,3.93,,,,,,0.803,1,0.013,0.934,1,0,1,1,1,0.95,1,Low Risk,1,0.95,,
107,4,9,F,White,0,0,0,0,0,4.0,3.88,0.04,0,0,3,24,4.0,4.0,4.0,4.0,4.0,,,,,,0.81,1,0.022,0.918,1,0,1,1,1,0.95,1,Low Risk,1,0.95,,
108,4,9,M,Hispanic,0,0,0,0,0,3.84,3.71,0.22,0,0,3,24,3.5,3.88,4.0,3.98,3.84,,,,,,0.942,0,0.038,0.941,1,0,1,2,1,0.95,1,Low Risk,1,0.882,,
109,9,14,M,White,1,0,0,0,0,2.37,2.33,-0.29,0,0,3,54,,2.42,2.15,2.53,2.37,,2.38,2.21,2.48,2.43,0.909,0,0.007,0.955,0,0,1,2,1,0.833,1,Low Risk,1,0.899,0.0,0.87
110,9,14,M,Hispanic,0,0,0,0,0,3.62,3.62,0.26,0,0,3,54,,3.96,3.86,2.92,3.62,,3.79,3.97,3.6,3.27,0.748,1,0.068,0.986,0,0,0,0,1,0.842,1,Low Risk,1,0.83,1.0,0.95
111,10,15,M,Hispanic,0,0,1,0,1,3.72,3.71,0.28,0,0,3,60,,3.94,3.92,3.8,3.72,,3.79,4.0,3.47,3.13,0.962,0,0.033,0.823,0,0,1,1,1,0.95,1,Low Risk,1,0.935,1.0,0.95
112,5,10,F,Black,1,0,0,0,0,3.03,2.76,0.6,0,0,3,30,2.55,3.31,3.17,3.1,3.03,,,,,,0.826,1,0.023,0.935,0,0,0,2,1,0.857,1,Low Risk,1,0.851,,
113,2,7,M,Multi-racial,1,0,0,0,0,3.14,2.85,0.65,0,0,3,12,3.3,3.41,2.9,2.93,3.14,,,,,,0.99,0,0.0,0.955,0,0,0,1,1,0.95,1,Low Risk,1,0.95,,
114,6,12,M,Hispanic,0,1,1,0,0,3.34,2.94,0.61,0,0,3,36,,3.46,3.67,2.61,3.34,3.36,3.37,3.57,,,0.82,1,0.01,0.807,1,0,0,1,1,0.792,0,Medium Risk,1,0.896,,
